id;url;PCO;AAE;corrupt from;noisy;offset;non-english;vocalizations;repeated words/lines;multiple singers;split words;missing words
1b9c139f491c41f5b0776eefd21c122d;o61rTPowBq0;-1;-1;0;False;0;False;False;False;False;False;False
8e63d5492ea94b40a50b0033a74ee3d8;Qci5ka9r54A;0.0000;54.8820;75.63;False;0;False;False;False;False;False;False
7b61fa464da54a48bc956a533ba94613;J3UjJ4wKLkg;0.0223;0.5857;10000000000.0;False;-0.6;False;False;False;False;False;False
50008b177f3c4c788a2a0d49d54f97ca;zPonioDYnoY;0.0000;25.5281;0;False;0;False;False;False;False;False;False
55c1801b6330461db26465dafd538bf7;2RoVwtqRcMM;0.0000;6.9825;10000000000.0;False;-3.7;False;False;False;False;False;False
b897dd4ce2154da3a128a60460d34ef9;YLHpvjrFpe0;0.0000;1.2185;10000000000.0;False;0.6, 0.5;False;False;False;False;False;False
98d2ea179ab348b790363a1e21a0cfee;5vmZtT713Oo;0.2812;1.1250;0;False;0;False;False;False;False;False;False
ce3558f4e01b4391ae106887962589d3;WGt-8adyabk;0.0681;7.7865;0;False;0;False;False;False;False;False;False
5eea90c128a34914911e94e616b8913f;AhcttcXcRYY;0.0000;0.7154;10000000000.0;False;0.66;False;False;False;False;False;False
aa6dc65f06de453081c89dc85588c178;AAZQaYKZMTI;0.0366;1.1082;0;False;0;False;False;False;False;False;False
f3a0b83fcc7b4ea3bb55b1edbf5a189f;41P8UxneDJE;0.1000;0.4295;10000000000.0;False;-0.4;False;False;False;False;False;False
10f18aeb828d4a0ab4592abdc45f539b;rp4UwPZfRis;0.0196;0.5126;10000000000.0;False;0.5;False;False;False;False;False;False
a851c0b72cbf427f87edfcd53524d1b8;IlV7RhT6zHs;0.2946;0.4428;10000000000.0;False;0.38;False;False;False;False;False;False
99456b487b11410f8228fb42d63af21b;5AhU12zC8fc;0.0132;0.8274;10000000000.0;False;0.66, 0.85;False;False;False;False;False;False
f8e138f65797453a9a6edd754c59ac65;6VZhSkREYBc;0.0522;4.4064;10000000000.0;False;0.4, 8;False;True;False;False;False;False
98ebf10ca57041a8871368ec6f98bf00;4vvBAONkYwI;0.0175;1.6318;10000000000.0;False;0.4;False;False;False;False;False;False
cc226a4299d74339a6fca1ec6a329303;Lecf_TE4uOM;0.0000;14.5835;0;False;0;False;False;False;False;False;False
5ca035dbd3c24573832eab4ba8ec6e39;bz6IdhgqPgE;0.0000;52.9926;0;False;0;False;False;False;False;False;False
843573b8c5d24e229cff82d7b38dd1bc;DeaAQPIHotQ;0.0000;31.2214;0;False;0;False;False;False;False;False;False
24bfcfc2287741e28bbecf498e01542f;RvuVFHTvdaY;0.0680;0.6413;10000000000.0;False;-0.57;False;False;False;False;False;False
bddb1d0dfc644be9b8a3c47174e189b3;GFB4rsAyUb4;0.0000;57.9171;0;False;0;False;False;False;False;False;False
0d0c3aa76809409e9afdbba8840c0974;R-R_u57gEUk;0.0191;10.1112;0;False;0;False;False;False;False;False;False
3eea0a8a992149c3947f0cdbd18d24fa;zDKO6XYXioc;0.0077;0.7325;10000000000.0;False;0.5, 0.9;False;False;False;False;False;False
bf4322856a3f4ce9b4721db5c5ce37fe;YxFerWkYYqY;0.0000;56.7733;0;False;0;False;False;False;False;False;False
aeaf841fceb84c5cade8147d37e6d808;_4VoZ6afztc;0.1313;0.6265;10000000000.0;False;-0.4;False;False;False;False;False;False
4058aa5a512d42cb931e37b87120dae5;eM213aMKTHg;0.0000;0.7453;10000000000.0;False;0.7;False;False;False;False;False;False
d566e0f3de3a4449ac95bed00d13c6c0;wD6Pq0bSMPo;0.0000;2.5673;10000000000.0;False;2.56;False;False;False;False;False;False
dad3dd9d0da1451b9dabe1e8fa31fadc;KfKIq1Pmc8Q;0.0000;64.3313;0;False;0;False;False;False;False;False;False
078126680b814bd88bcbe9855a63c5ed;eVTXPUF4Oz4;0.0000;0.6404;10000000000.0;False;0.64;False;False;False;False;False;False
7861bbf7b11645a2b1d4dda4c634cbac;3T2VizbQAwY;0.2169;0.6880;10000000000.0;False;0.4, 1;False;False;False;False;False;False
23c124a6dcad4f1bbf28f032e0055747;G2zxzaWgVRA;0.1847;2.3712;0;False;0;False;False;False;False;False;False
899ed10c5e1949139021dfa0848cc665;_NkRNg0TZOw;0.0989;1.9198;10000000000.0;False;-3.3, 4.1;False;False;False;False;False;False
43484ea2fb214c62906ea1ee4f98b77f;uIbXvaE39wM;0.1175;0.3895;10000000000.0;False;-0.35;False;False;False;False;False;False
c1590a8c7c8343a9a08abaccc6f1cd8e;NRtvqT_wMeY;0.0352;0.5010;10000000000.0;False;0.4;False;False;False;False;False;False
16bd3bddd8d74819938853251a43396e;VcjzHMhBtf0;0.0000;3.7276;10000000000.0;False;-3.6;False;False;False;False;False;False
82a1167f3ee94faab28bb5f28c377457;1UUYjd2rjsE;0.0138;0.5793;10000000000.0;False;-0.56;False;False;False;False;False;False
1d9c9db93db742da8880132615e87037;4zKvXIbzSrw;0.2757;36.0315;70.76;False;0;False;False;False;False;False;False
3619a2e501594acea422c14a4b522f15;w6Q3mHyzn78;0.1563;0.5533;10000000000.0;False;-0.45;False;False;False;False;False;False
82485faae5a54cc58d0ba484d1b46374;f58HKOgGsHo;0.2775;0.4852;10000000000.0;False;0.7, -0.8;False;False;False;False;False;False
5ac883dc659045c78fbef3b1fd789643;VKYY8DxVZHE;0.0435;0.8431;10000000000.0;False;-0.5;False;False;False;False;False;False
085ee99e025d40659201adb53e076481;cLVxvQ3a2n8;0.0047;7.1902;0;False;0;False;False;False;False;False;False
df7b04250c24415bb49d74c47544a45e;7WFpwdblDlw;0.0000;13.7937;0;False;0;False;False;False;False;False;False
d9b4bed2740c4d629d5ed337d36c9896;dkQ0OJ5Byls;0.0071;0.8575;10000000000.0;False;0.6;False;False;False;False;False;False
f5aefa0e4d4b48a7bad8e3f36403bdbd;AJWtLf4-WWs;0.0093;0.5676;10000000000.0;False;0.4;False;False;False;False;False;False
